time,Cd_obs,Cd_obs_std,RBi_obs,RBi_obs_std,Ce_obs,Ce_obs_std,Ca_obs,Ca_obs_std,Cb_obs,Cb_obs_std,CDT1_obs,CDT1_obs_std,Gem_obs,Gem_obs_std,p21_obs,p21_obs_std,palbociclib,nocodazole
0,0.397352127,0.058422985,0.392644483,0.035802908,0.836966192,0.040808122,0.660067142,0.048889087,0.23787635,0.05791772,0.443835589,0.048115623,0.511994185,0.048622822,0.452743902,0.077202363,0,0
0.628318531,0.380699894,0.055517352,0.432939541,0.038963398,0.848623104,0.042553838,0.679483628,0.047866724,0.262876718,0.077192128,0.431756179,0.045801494,0.520717303,0.049134541,0.443372538,0.075322081,0,0
1.256637061,0.352796628,0.06049828,0.50590688,0.086518416,0.817448315,0.061058137,0.713865802,0.056461608,0.413639124,0.155109935,0.431264579,0.066551212,0.55540639,0.098893779,0.37055723,0.080923084,0,0
1.884955592,0.327479885,0.043907647,0.788091068,0.045183888,0.697352368,0.074626866,0.724331954,0.069637998,0.664648623,0.105631893,0.408715694,0.061084198,0.7523408,0.053730026,0.248094512,0.05448715,0,0
2.513274123,0.265440371,0.043942309,0.742769223,0.05114196,0.581158851,0.070843787,0.64137453,0.066696636,0.530072526,0.074898505,0.343095091,0.060209497,0.722325294,0.072584346,0.18472615,0.041242918,0,0
3.141592654,0.214058476,0.074564569,0.620743572,0.157134507,0.52443962,0.081510527,0.567367059,0.070348986,0.377811473,0.097032556,0.312852387,0.068296836,0.49028868,0.142093866,0.143483232,0.040633623,0,0
3.769387586,0.309622314,0.049957691,0.665969874,0.092608146,0.566490934,0.078939458,0.537336902,0.064980652,0.297090805,0.081248421,0.611578427,0.113879268,0.429411165,0.068399212,0.203841296,0.047908009,0,0
4.397706116,0.369337979,0.05359416,0.398745006,0.064881081,0.677843645,0.079626335,0.59010744,0.055348824,0.245780557,0.060286496,0.589969605,0.090959214,0.460395763,0.068314622,0.327968329,0.067956254,0,0
5.026024647,0.368138932,0.051527684,0.366921473,0.043739718,0.772707053,0.055763749,0.630853436,0.048195175,0.227192317,0.049027041,0.517808187,0.061827071,0.487182716,0.0626212,0.402663146,0.077354541,0,0
5.654343178,0.37903348,0.049926313,0.372654621,0.037004864,0.816372682,0.044787034,0.647764629,0.045676097,0.226495726,0.048907882,0.464643932,0.055912914,0.500295136,0.054773278,0.424395828,0.07402352,0,0
6.283185307,0.397352127,0.058422985,0.392644483,0.035802908,0.836966192,0.040808122,0.660067142,0.048889087,0.23787635,0.05791772,0.443835589,0.048115623,0.511994185,0.048622822,0.452743902,0.077202363,0,0
6.911503838,0.380699894,0.055517352,0.432939541,0.038963398,0.848623104,0.042553838,0.679483628,0.047866724,0.262876718,0.077192128,0.431756179,0.045801494,0.520717303,0.049134541,0.443372538,0.075322081,0,0
7.539822369,0.352796628,0.06049828,0.50590688,0.086518416,0.817448315,0.061058137,0.713865802,0.056461608,0.413639124,0.155109935,0.431264579,0.066551212,0.55540639,0.098893779,0.37055723,0.080923084,0,0
8.168140899,0.327479885,0.043907647,0.788091068,0.045183888,0.697352368,0.074626866,0.724331954,0.069637998,0.664648623,0.105631893,0.408715694,0.061084198,0.7523408,0.053730026,0.248094512,0.05448715,0,0
8.79645943,0.265440371,0.043942309,0.742769223,0.05114196,0.581158851,0.070843787,0.64137453,0.066696636,0.530072526,0.074898505,0.343095091,0.060209497,0.722325294,0.072584346,0.18472615,0.041242918,0,0
9.424777961,0.214058476,0.074564569,0.620743572,0.157134507,0.52443962,0.081510527,0.567367059,0.070348986,0.377811473,0.097032556,0.312852387,0.068296836,0.49028868,0.142093866,0.143483232,0.040633623,0,0
10.05257289,0.309622314,0.049957691,0.665969874,0.092608146,0.566490934,0.078939458,0.537336902,0.064980652,0.297090805,0.081248421,0.611578427,0.113879268,0.429411165,0.068399212,0.203841296,0.047908009,0,0
10.68089142,0.369337979,0.05359416,0.398745006,0.064881081,0.677843645,0.079626335,0.59010744,0.055348824,0.245780557,0.060286496,0.589969605,0.090959214,0.460395763,0.068314622,0.327968329,0.067956254,0,0
11.30920995,0.368138932,0.051527684,0.366921473,0.043739718,0.772707053,0.055763749,0.630853436,0.048195175,0.227192317,0.049027041,0.517808187,0.061827071,0.487182716,0.0626212,0.402663146,0.077354541,0,0
11.93752848,0.37903348,0.049926313,0.372654621,0.037004864,0.816372682,0.044787034,0.647764629,0.045676097,0.226495726,0.048907882,0.464643932,0.055912914,0.500295136,0.054773278,0.424395828,0.07402352,0,0
12.56637061,0.397352127,0.058422985,0.392644483,0.035802908,0.836966192,0.040808122,0.660067142,0.048889087,0.23787635,0.05791772,0.443835589,0.048115623,0.511994185,0.048622822,0.452743902,0.077202363,0,0
13.19468915,0.380699894,0.055517352,0.432939541,0.038963398,0.848623104,0.042553838,0.679483628,0.047866724,0.262876718,0.077192128,0.431756179,0.045801494,0.520717303,0.049134541,0.443372538,0.075322081,0,0
13.82300768,0.352796628,0.06049828,0.50590688,0.086518416,0.817448315,0.061058137,0.713865802,0.056461608,0.413639124,0.155109935,0.431264579,0.066551212,0.55540639,0.098893779,0.37055723,0.080923084,0,0
14.45132621,0.327479885,0.043907647,0.788091068,0.045183888,0.697352368,0.074626866,0.724331954,0.069637998,0.664648623,0.105631893,0.408715694,0.061084198,0.7523408,0.053730026,0.248094512,0.05448715,0,0
15.07964474,0.265440371,0.043942309,0.742769223,0.05114196,0.581158851,0.070843787,0.64137453,0.066696636,0.530072526,0.074898505,0.343095091,0.060209497,0.722325294,0.072584346,0.18472615,0.041242918,0,0
15.70796327,0.214058476,0.074564569,0.620743572,0.157134507,0.52443962,0.081510527,0.567367059,0.070348986,0.377811473,0.097032556,0.312852387,0.068296836,0.49028868,0.142093866,0.143483232,0.040633623,0,0
16.3357582,0.309622314,0.049957691,0.665969874,0.092608146,0.566490934,0.078939458,0.537336902,0.064980652,0.297090805,0.081248421,0.611578427,0.113879268,0.429411165,0.068399212,0.203841296,0.047908009,0,0
16.96407673,0.369337979,0.05359416,0.398745006,0.064881081,0.677843645,0.079626335,0.59010744,0.055348824,0.245780557,0.060286496,0.589969605,0.090959214,0.460395763,0.068314622,0.327968329,0.067956254,0,0
17.59239526,0.368138932,0.051527684,0.366921473,0.043739718,0.772707053,0.055763749,0.630853436,0.048195175,0.227192317,0.049027041,0.517808187,0.061827071,0.487182716,0.0626212,0.402663146,0.077354541,0,0
18.22071379,0.37903348,0.049926313,0.372654621,0.037004864,0.816372682,0.044787034,0.647764629,0.045676097,0.226495726,0.048907882,0.464643932,0.055912914,0.500295136,0.054773278,0.424395828,0.07402352,0,0
